,prep,knowledge,communication,comments,discussion,studentQ,examples,enthusiastic,friendly,officehr,overall
mean,4.487804878,4.634146341,3.463414634,4.214285714,3.742857143,4.634146341,3.756097561,4.463414634,4.731707317,4.785714286,4
,5,5,5,5,5,5,5,5,5,5,5
,4,4,3,3,3,4,3,4,4,na,3
,5,4,2,na,na,5,2,5,5,na,3
,5,5,4,5,4,5,5,4,5,5,4
,5,5,2,na,4,5,1,5,5,na,3
,5,5,4,na,5,5,3,5,5,na,5
,5,5,2,na,3,4,2,4,5,na,3
,5,5,4,5,na,5,5,5,5,na,4
,5,5,3,na,4,5,3,4,4,na,na
,5,5,4,5,5,5,5,5,5,na,5
,5,5,4,5,na,5,5,5,5,5,5
,5,5,3,4,4,4,4,4,5,na,4
,4,4,3,4,4,4,3,4,5,na,4
,4,5,4,5,4,5,3,5,5,5,4
,5,5,4,4,3,5,5,4,5,5,4
,4,4,4,3,3,5,3,4,4,na,4
,4,4,3,4,3,4,4,4,5,na,3
,4,5,3,4,na,4,3,3,4,na,3
,4,4,3,3,4,4,4,4,5,na,4
,4,5,3,na,na,5,4,5,5,na,4
,5,5,5,5,5,5,5,5,5,na,5
,5,5,4,na,3,4,4,4,4,na,4
,5,5,4,5,4,5,5,5,5,na,5
,4,4,4,na,3,4,3,5,5,5,4
,3,4,2,3,3,4,3,4,4,4,3
,4,4,3,5,4,5,2,5,5,5,4
,5,5,4,5,4,5,5,5,5,5,5
,4,5,4,4,4,5,5,5,5,4,4
,4,5,3,na,3,5,3,5,5,na,3
,5,5,4,5,4,5,5,4,5,5,5
,3,3,2,na,3,4,3,3,4,na,3
,4,4,2,2,3,3,3,3,3,na,3
,5,5,3,5,5,5,5,5,5,na,4
,5,5,5,5,4,5,5,5,5,5,5
,5,5,5,na,5,5,4,5,5,na,5
,5,5,2,na,2,5,4,5,5,na,4
,4,4,4,4,5,5,4,4,5,4,4
,5,5,4,na,na,5,3,5,5,na,4
,5,5,5,5,5,5,5,5,5,5,5
,4,5,4,5,3,4,3,5,5,na,4
,3,3,2,1,1,4,3,3,3,na,3
