"tuition","highdeg","sat","type","admission","loan"
12774,"Graduate degree",823,"Public",89.89,82.04
16398,"Graduate degree",1146,"Public",86.73,53.97
21506,"Graduate degree",1180,"Public",80.62,47.28
15656,"Graduate degree",830,"Public",51.25,87.35
23950,"Graduate degree",1171,"Public",56.55,41.48
24950,"Graduate degree",970,"Public",83.71,64.76
26364,"Graduate degree",1215,"Public",82.74,36.1
30690,"Bachelor's degree",1177,"Private nonprofit",64.22,49.39
23500,"Bachelor's degree",999,"Private nonprofit",62.79,72.27
13884,"Graduate degree",1036,"Public",83.26,68.11
15630,"Bachelor's degree",1023,"Private nonprofit",73.88,71.1
14170,"Graduate degree",950,"Public",99.57,71.93
14570,"Associate degree",1040,"Public",60.34,62.57
18690,"Graduate degree",1058,"Private nonprofit",71.25,80.09
19690,"Graduate degree",1070,"Public",87.29,58.72
12670,"Graduate degree",1028,"Public",80.92,68.83
16234,"Graduate degree",924,"Private nonprofit",34.35,74.11
26328,"Graduate degree",1153,"Private nonprofit",76.97,36.53
13596,"Graduate degree",1064,"Public",86.04,55.49
30924,"Graduate degree",1100,"Private nonprofit",46.27,65.64
11370,"Bachelor's degree",970,"Private nonprofit",96.15,78.77
15901,"Bachelor's degree",882,"Private nonprofit",43,81.45
13612,"Graduate degree",990,"Public",68.21,64.14
18900,"Graduate degree",937,"Private nonprofit",35.11,73.74
29810,"Graduate degree",1008,"Private nonprofit",37.45,45.87
23654,"Graduate degree",1145,"Public",80.23,47.84
27383,"Graduate degree",1106,"Public",76.92,39.62
31034,"Graduate degree",1171,"Private nonprofit",78.98,55.96
22093,"Graduate degree",1050,"Public",91.37,55.71
29732,"Graduate degree",1094,"Private nonprofit",72.93,64.78
21832,"Bachelor's degree",1045,"Private nonprofit",60.76,51.83
16871,"Graduate degree",1077,"Public",52.74,48.18
23594,"Bachelor's degree",1142,"Private nonprofit",58.98,68.67
19074,"Graduate degree",1156,"Public",58.58,40.84
11638,"Graduate degree",842,"Public",27.7,72.76
13120,"Graduate degree",1088,"Public",75.51,52.89
10374,"Graduate degree",1008,"Public",85.03,47.34
7804,"Certificate degree",970,"Private nonprofit",86.15,88.46
13340,"Graduate degree",1070,"Public",89.97,49.2
13350,"Bachelor's degree",974,"Private nonprofit",54.07,57.45
16170,"Graduate degree",1139,"Private nonprofit",76.28,55.73
13700,"Graduate degree",1011,"Public",62.21,59.85
37816,"Graduate degree",1267,"Private nonprofit",80.39,44.87
22734,"Graduate degree",1144,"Private nonprofit",69.82,53.33
22370,"Bachelor's degree",1090,"Private nonprofit",70.11,50.33
24350,"Bachelor's degree",1057,"Private nonprofit",61.36,48.26
3233,"Associate degree",930,"Public",58.38,41.13
13750,"Bachelor's degree",1001,"Private nonprofit",67.98,63.07
10616,"Graduate degree",989,"Public",60.81,50.54
10072,"Bachelor's degree",1028,"Public",57.36,40.18
32256,"Graduate degree",1098,"Private nonprofit",79.85,56.97
32142,"Graduate degree",1123,"Private nonprofit",72.86,77.62
28122,"Graduate degree",984,"Private nonprofit",78.8,77.34
41538,"Graduate degree",1534,"Private nonprofit",10.55,25.08
35720,"Graduate degree",1108,"Private nonprofit",48.02,55.6
19884,"Graduate degree",1242,"Public",31.23,34.82
17935,"Graduate degree",901,"Public",66.26,41.58
17651,"Graduate degree",917,"Public",72.15,42.86
17710,"Graduate degree",888,"Public",58.31,46.98
17510,"Graduate degree",1070,"Public",52.18,38.83
18132,"Graduate degree",1014,"Public",71.61,45.2
17260,"Graduate degree",845,"Public",57.47,42.91
17447,"Graduate degree",920,"Public",58.15,36.28
17346,"Graduate degree",1021,"Public",45.79,33.27
17710,"Graduate degree",910,"Public",68.72,38.44
17400,"Graduate degree",1012,"Public",30.82,39.3
17504,"Graduate degree",871,"Public",67.52,39.24
17685,"Graduate degree",918,"Public",46.24,36.36
17788,"Graduate degree",945,"Public",69.68,41.53
35742,"Graduate degree",1350,"Public",18,30.21
36773,"Graduate degree",1192,"Public",45.21,44.67
36027,"Graduate degree",1122,"Public",42.39,44.18
35575,"Graduate degree",1289,"Public",21.99,37.4
35838,"Graduate degree",1078,"Public",62,56.88
36149,"Graduate degree",1276,"Public",37.5,47.31
36624,"Graduate degree",1212,"Public",44.44,43.8
36275,"Graduate degree",1087,"Public",59.91,55.86
17696,"Graduate degree",1080,"Public",74.8,60.43
43573,"Graduate degree",1208,"Private nonprofit",44.71,65.36
11956,"Graduate degree",735,"Private nonprofit",88.89,74.07
29630,"Graduate degree",1020,"Private nonprofit",91.19,62.31
25888,"Graduate degree",986,"Private nonprofit",49.2,87.93
45625,"Graduate degree",1397,"Private nonprofit",11.73,8.62
40600,"Graduate degree",1057,"Private nonprofit",77.52,85.16
25716,"Graduate degree",979,"Private nonprofit",78.44,69.28
46509,"Bachelor's degree",1483,"Private nonprofit",18.17,44.13
33020,"Graduate degree",910,"Private nonprofit",56.68,81.24
18304,"Graduate degree",1008,"Public",80.18,60.5
12500,"Graduate degree",930,"Private nonprofit",74.82,54.27
35000,"Graduate degree",1035,"Private nonprofit",38.95,68.16
29103,"Graduate degree",926,"Private nonprofit",46.77,69.43
28800,"Graduate degree",1104,"Private nonprofit",61.37,53.35
40265,"Graduate degree",1202,"Private nonprofit",54.12,47.47
37100,"Bachelor's degree",1001,"Private nonprofit",37.05,59.1
41494,"Graduate degree",1151,"Private nonprofit",67.98,72.79
33852,"Graduate degree",928,"Private nonprofit",74.09,92.03
31126,"Graduate degree",972,"Private nonprofit",87.2,67.2
46652,"Graduate degree",1303,"Private nonprofit",42.39,53.33
39430,"Graduate degree",1002,"Private nonprofit",46.28,62.9
26050,"Graduate degree",951,"Private nonprofit",46.81,75.76
27480,"Graduate degree",1017,"Private nonprofit",50.55,84.53
39810,"Graduate degree",1172,"Private nonprofit",72.65,62.92
44902,"Graduate degree",1235,"Private nonprofit",37.34,44.12
30356,"Graduate degree",1155,"Private nonprofit",66.54,64.1
43580,"Bachelor's degree",1454,"Private nonprofit",13.92,15.25
41290,"Graduate degree",1135,"Private nonprofit",67.2,63.47
17926,"Graduate degree",1090,"Public",31.21,38.28
41392,"Graduate degree",1228,"Private nonprofit",48.85,42.59
38406,"Graduate degree",1061,"Private nonprofit",82.69,100
17610,"Graduate degree",998,"Public",63.79,39.97
40294,"Graduate degree",1161,"Private nonprofit",61.29,51.15
24040,"Graduate degree",1039,"Private nonprofit",69.29,89.51
18503,"Graduate degree",1030,"Public",63.47,35.48
42156,"Graduate degree",1294,"Private nonprofit",51.22,37.26
45564,"Graduate degree",1364,"Private nonprofit",35.7,36.83
23300,"Graduate degree",1030,"Private nonprofit",55.5,94.57
39890,"Graduate degree",1115,"Private nonprofit",69.47,53.07
18394,"Graduate degree",1006,"Public",81.86,41.43
29250,"Graduate degree",980,"Private nonprofit",69.77,73.02
37300,"Graduate degree",1137,"Private nonprofit",86.67,54.72
46298,"Graduate degree",1380,"Private nonprofit",19.84,38.26
24500,"Bachelor's degree",1243,"Private nonprofit",79.21,74.86
38510,"Graduate degree",1193,"Private nonprofit",70.16,55.17
40296,"Graduate degree",1043,"Private nonprofit",63.25,69.34
33150,"Graduate degree",987,"Private nonprofit",55.75,67.41
18081,"Graduate degree",939,"Public",52.6,62.9
22057,"Graduate degree",1073,"Public",75.87,38.77
18437,"Graduate degree",1068,"Public",91,50.42
32115,"Graduate degree",1192,"Public",87.71,32.98
44222,"Graduate degree",1323,"Private nonprofit",22.28,33.33
32415,"Graduate degree",1298,"Public",37.43,47.71
25166,"Graduate degree",1127,"Public",77.43,47.39
40707,"Graduate degree",1231,"Private nonprofit",76.73,39.73
17763,"Bachelor's degree",1049,"Public",87.5,46.33
16748,"Graduate degree",972,"Public",82.12,57.6
17837,"Graduate degree",973,"Public",71.16,51.2
18507,"Graduate degree",1029,"Public",69.57,59.2
32424,"Graduate degree",1087,"Private nonprofit",69.86,56.35
17649,"Graduate degree",967,"Public",94.34,56.24
