"Country","Region","Hrank","Hscore","GDP","Family","Life","Freedom","Corruption","Generosity"
"New Zealand","AsiaAustralia",8,7.334,1.36066,1.17278,0.83096,0.58147,0.42904,0.49401
"Australia","AsiaAustralia",9,7.313,1.44443,1.10476,0.8512,0.56837,0.33331,0.47407
"Czech Republic","Europe",27,6.596,1.30915,1.00793,0.76376,0.41418,0.04986,0.09929
"Slovakia","Europe",45,6.078,1.27973,1.08268,0.70367,0.23391,0.03947,0.13837
"Uzbekistan","Europe",49,5.987,0.73591,1.1681,0.50163,0.60848,0.29333,0.34326
"Kazakhstan","Europe",54,5.919,1.22943,0.95544,0.57386,0.4052,0.12132,0.15011
"Moldova","Europe",55,5.897,0.69177,0.83132,0.52309,0.25202,0.02903,0.19997
"Russia","Europe",56,5.856,1.23228,1.05261,0.58991,0.32682,0.04586,0.02736
"Poland","Europe",57,5.835,1.24585,1.04685,0.69058,0.4519,0.065,0.14443
"Lithuania","Europe",60,5.813,1.2692,1.06411,0.64674,0.18929,0.0282,0.02025
"Belarus","Europe",61,5.802,1.13062,1.04993,0.63104,0.29091,0.18457,0.13942
"Slovenia","Europe",63,5.768,1.29947,1.05613,0.79151,0.53164,0.04635,0.25738
"Turkmenistan","Europe",65,5.658,1.08017,1.03817,0.44006,0.37408,0.29467,0.22567
"Latvia","Europe",68,5.56,1.21788,0.95025,0.63952,0.27996,0.0989,0.17445
"Romania","Europe",71,5.528,1.1697,0.72803,0.67602,0.36712,0.01679,0.12889
"Estonia","Europe",72,5.517,1.27964,1.05163,0.68098,0.41511,0.19519,0.08423
"Croatia","Europe",74,5.488,1.18649,0.60809,0.70524,0.23907,0.05002,0.18434
"Kosovo","Europe",77,5.401,0.90145,0.66062,0.54,0.14396,0.07547,0.27992
"Azerbaijan","Europe",81,5.291,1.12373,0.76042,0.54504,0.35327,0.18914,0.0564
"Kyrgyzstan","Europe",85,5.185,0.56044,0.95434,0.55449,0.40212,0.05762,0.38432
"Serbia","Europe",86,5.177,1.03437,0.81329,0.6458,0.15718,0.05339,0.20737
"Bosnia and Herzegovina","Europe",87,5.163,0.93383,0.64367,0.70766,0.09511,0.01,0.29889
"Montenegro","Europe",88,5.161,1.07838,0.74173,0.63533,0.15111,0.13721,0.17191
"Hungary","Europe",91,5.145,1.24142,0.93164,0.67608,0.1977,0.05472,0.099
"Macedonia","Europe",95,5.121,1.0193,0.78236,0.64738,0.27668,0.08047,0.23507
"Tajikistan","Europe",100,4.996,0.48835,0.75602,0.53119,0.43408,0.14509,0.25998
"Albania","Europe",109,4.655,0.9553,0.50163,0.73007,0.31866,0.06301,0.1684
"Armenia","Europe",121,4.36,0.86086,0.62477,0.64083,0.14037,0.04616,0.07793
"Ukraine","Europe",123,4.324,0.87287,1.01413,0.58628,0.12859,0.02829,0.20363
"Georgia","Europe",126,4.252,0.83792,0.19249,0.64035,0.32461,0.3288,0.06786
"Bulgaria","Europe",129,4.217,1.11306,0.92542,0.67806,0.21219,0.01615,0.12793
"Taiwan","AsiaAustralia",34,6.379,1.39729,0.92624,0.79565,0.32377,0.0763,0.25495
"Japan","AsiaAustralia",53,5.921,1.38007,1.06054,0.91491,0.46761,0.19985,0.10224
"South Korea","AsiaAustralia",57,5.835,1.35948,0.72194,0.88645,0.25168,0.08716,0.18824
"Hong Kong","AsiaAustralia",75,5.458,1.5107,0.87021,0.95277,0.48079,0.32647,0.40097
"China","AsiaAustralia",83,5.245,1.0278,0.79381,0.73561,0.44012,0.03745,0.04959
"Mongolia","AsiaAustralia",101,4.907,0.98853,1.08983,0.55469,0.35972,0.04285,0.34539
"Costa Rica","AmericasCarribean",14,7.087,1.06879,1.02152,0.76146,0.55225,0.11547,0.22553
"Puerto Rico","AmericasCarribean",15,7.039,1.35943,1.08113,0.77758,0.46823,0.13275,0.22202
"Brazil","AmericasCarribean",17,6.952,1.08754,1.03938,0.61415,0.40425,0.15166,0.15776
"Mexico","AmericasCarribean",21,6.778,1.11508,0.7146,0.71143,0.37709,0.19355,0.11735
"Chile","AmericasCarribean",24,6.705,1.2167,0.90587,0.81883,0.37789,0.12451,0.31595
"Panama","AmericasCarribean",25,6.701,1.18306,0.98912,0.70835,0.48927,0.09423,0.2418
"Argentina","AmericasCarribean",26,6.65,1.15137,1.06612,0.69711,0.42284,0.08296,0.10989
"Uruguay","AmericasCarribean",29,6.545,1.18157,1.03143,0.72183,0.54388,0.22394,0.18056
"Colombia","AmericasCarribean",31,6.481,1.03032,1.02169,0.59659,0.44735,0.06399,0.15626
"Guatemala","AmericasCarribean",39,6.324,0.83454,0.87119,0.54039,0.50379,0.09701,0.28808
"Suriname","AmericasCarribean",40,6.269,1.09686,0.77866,0.50933,0.52234,0.13692,0.16665
"Trinidad and Tobago","AmericasCarribean",43,6.168,1.32572,0.98569,0.52608,0.48453,0.02241,0.31935
"Venezuela","AmericasCarribean",44,6.084,1.13367,1.03302,0.61904,0.19847,0.09304,0.0425
"El Salvador","AmericasCarribean",46,6.068,0.8737,0.80975,0.596,0.37269,0.11613,0.08877
"Nicaragua","AmericasCarribean",48,5.992,0.69384,0.89521,0.65213,0.46582,0.17292,0.29773
"Ecuador","AmericasCarribean",51,5.976,0.97306,0.85974,0.68613,0.4027,0.19037,0.10074
"Belize","AmericasCarribean",52,5.956,0.87616,0.68655,0.45569,0.51231,0.11771,0.23684
"Bolivia","AmericasCarribean",59,5.822,0.79422,0.83779,0.4697,0.50961,0.08746,0.21698
"Peru","AmericasCarribean",64,5.743,0.99602,0.81255,0.62994,0.37502,0.06292,0.14527
"Paraguay","AmericasCarribean",70,5.538,0.89373,1.11111,0.58295,0.46235,0.08396,0.25296
"Jamaica","AmericasCarribean",73,5.51,0.89333,0.96372,0.59469,0.43597,0.05294,0.22245
"Dominican Republic","AmericasCarribean",89,5.155,1.02787,0.99496,0.57669,0.52259,0.13372,0.21286
"Honduras","AmericasCarribean",104,4.871,0.69429,0.75596,0.58383,0.26755,0.07906,0.2044
"Haiti","AmericasCarribean",136,4.028,0.34097,0.29561,0.27494,0.12072,0.15476,0.47958
"Israel","AfricaMideast",11,7.267,1.33766,0.99537,0.84917,0.36432,0.09728,0.32288
"United Arab Emirates","AfricaMideast",28,6.573,1.57352,0.87114,0.72993,0.56215,0.36561,0.26591
"Saudi Arabia","AfricaMideast",34,6.379,1.48953,0.84829,0.59267,0.37904,0.31008,0.15457
"Qatar","AfricaMideast",36,6.375,1.82427,0.87964,0.71723,0.56679,0.49049,0.32388
"Algeria","AfricaMideast",38,6.355,1.05266,0.83309,0.61804,0.21006,0.17157,0.07044
"Kuwait","AfricaMideast",41,6.239,1.61714,0.87758,0.63569,0.43166,0.24669,0.15965
"Bahrain","AfricaMideast",42,6.218,1.44024,0.94397,0.65696,0.47375,0.26772,0.17147
"Libya","AfricaMideast",67,5.615,1.06688,0.95076,0.52304,0.40672,0.11339,0.17087
"Turkey","AfricaMideast",78,5.389,1.16492,0.87717,0.64718,0.23889,0.13348,0.04707
"Jordan","AfricaMideast",80,5.303,0.99673,0.86216,0.60712,0.36023,0.14297,0.14262
"Morocco","AfricaMideast",90,5.151,0.84058,0.38595,0.59471,0.25646,0.09404,0.04053
"Lebanon","AfricaMideast",93,5.129,1.12268,0.64184,0.76171,0.26228,0.04061,0.23693
"Tunisia","AfricaMideast",98,5.045,0.97724,0.43165,0.59577,0.23553,0.0917,0.03936
"Iran","AfricaMideast",105,4.813,1.11758,0.38857,0.64232,0.22544,0.0657,0.38538
"Palestinian Territories","AfricaMideast",108,4.754,0.67024,0.71629,0.56844,0.17744,0.11613,0.11154
"Iraq","AfricaMideast",112,4.575,1.07474,0.59205,0.51076,0.24856,0.14636,0.19589
"Egypt","AfricaMideast",120,4.362,0.95395,0.49813,0.52116,0.18847,0.11393,0.12706
"Yemen","AfricaMideast",147,3.724,0.57939,0.47493,0.31048,0.2287,0.06892,0.09821
"Syria","AfricaMideast",156,3.069,0.74719,0.14866,0.62994,0.06912,0.18233,0.48397
"Canada","AfricaMideast",6,7.404,1.44015,1.0961,0.8276,0.5737,0.32329,0.44834
"United States","AmericasCarribean",13,7.104,1.50796,1.04782,0.779,0.48163,0.15868,0.41077
"Singapore","AsiaAustralia",22,6.739,1.64555,0.86758,0.94719,0.4877,0.47987,0.32706
"Thailand","AsiaAustralia",33,6.474,1.0893,1.04477,0.64915,0.49553,0.03833,0.58696
"Malaysia","AsiaAustralia",47,6.005,1.25142,0.88025,0.62366,0.39031,0.10081,0.41474
"Indonesia","AsiaAustralia",79,5.314,0.95104,0.87625,0.49374,0.39237,0.01322,0.56521
"Philippines","AsiaAustralia",82,5.279,0.81217,0.87877,0.47036,0.54854,0.12757,0.21674
"Vietnam","AsiaAustralia",96,5.061,0.74037,0.79117,0.66157,0.55954,0.12556,0.25075
"Laos","AsiaAustralia",102,4.876,0.68042,0.5497,0.38291,0.52168,0.23423,0.43079
"Myanmar","AsiaAustralia",119,4.395,0.34112,0.69981,0.3988,0.42692,0.21243,0.81971
"Cambodia","AsiaAustralia",140,3.907,0.55604,0.5375,0.42494,0.58852,0.09092,0.40339
"Bhutan","AsiaAustralia",84,5.196,0.8527,0.90836,0.49759,0.46074,0.1716,0.48546
"Pakistan","AsiaAustralia",92,5.132,0.68816,0.26135,0.40306,0.14622,0.1488,0.31185
"Nepal","AsiaAustralia",107,4.793,0.44626,0.69699,0.50073,0.37012,0.08008,0.3816
