Season,Name,W,L,SV,G,GS,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,WAR,playerid
2015,Chris Archer,12,13,0,34,34,212,10.7,2.8,0.81,0.295,0.731,0.461,0.1040 ,3.23,2.9,3.01,5.2,6345
2012,David Price,20,5,0,31,31,211,8.74,2.52,0.68,0.285,0.811,0.531,0.1050 ,2.56,3.05,3.12,5,3184
2007,Scott Kazmir,13,9,0,34,34,206.2,10.41,3.88,0.78,0.333,0.753,0.431,0.0810 ,3.48,3.45,3.67,4.8,4897
2011,James Shields,16,12,0,33,33,249.1,8.12,2.35,0.94,0.258,0.796,0.462,0.1110 ,2.82,3.42,3.25,4.5,7059
2013,David Price,10,8,0,27,27,186.2,7.28,1.3,0.77,0.298,0.7,0.449,0.0860 ,3.33,3.03,3.27,4.4,3184
2011,David Price,12,13,0,34,34,224.1,8.75,2.53,0.88,0.281,0.733,0.443,0.0970 ,3.49,3.32,3.32,4.4,3184
2012,James Shields,15,10,0,33,33,227.2,8.82,2.29,0.99,0.292,0.719,0.523,0.1340 ,3.52,3.47,3.24,4.2,7059
2010,David Price,19,6,0,31,31,207.2,8.1,3.42,0.65,0.271,0.785,0.439,0.0660 ,2.73,3.43,3.84,4.1,3184
2007,James Shields,12,8,0,31,31,215,7.7,1.51,1.17,0.282,0.718,0.434,0.1110 ,3.85,3.86,3.65,4,7059
2014,David Price,11,8,0,23,23,170.2,9.97,1.21,1.05,0.301,0.744,0.405,0.1120 ,3.11,2.93,2.7,3.8,3184
2008,James Shields,14,8,0,33,33,215,6.7,1.67,1,0.287,0.733,0.463,0.0980 ,3.56,3.82,3.87,3.8,7059
2006,Scott Kazmir,10,8,0,24,24,144.2,10.14,3.24,0.93,0.31,0.77,0.42,0.0990 ,3.24,3.36,3.48,3.6,4897
2005,Scott Kazmir,10,9,0,32,32,186,8.42,4.84,0.58,0.307,0.724,0.423,0.0600 ,3.77,3.76,4.41,3.6,4897
2008,Andy Sonnanstine,13,9,0,32,32,193.1,5.77,1.72,0.98,0.302,0.663,0.421,0.0800 ,4.38,3.91,4.29,3.6,7667
2009,James Shields,11,12,0,33,33,219.2,6.84,2.13,1.19,0.308,0.712,0.423,0.1120 ,4.14,4.02,3.85,3.5,7059
1998,Rolando Arrojo,14,12,0,32,32,202,6.77,2.9,0.94,0.292,0.781,,,3.56,4.23,,3.3,174
2014,Chris Archer,10,9,0,32,32,194.2,8,3.33,0.55,0.296,0.716,0.465,0.0690 ,3.33,3.39,3.7,3.2,6345
1998,Tony Saunders,6,15,0,31,31,192.1,8.05,5.19,0.7,0.32,0.743,,,4.12,4.21,,3.2,1011463
2008,Matt Garza,11,9,0,30,30,184.2,6.24,2.88,0.93,0.27,0.729,0.417,0.0840 ,3.7,4.14,4.42,3.1,3340
2009,Matt Garza,8,12,0,32,32,203,8.38,3.5,1.11,0.273,0.75,0.397,0.1020 ,3.95,4.17,4.14,3,3340
2009,Jeff Niemann,13,6,0,30,30,177.2,6.28,2.99,0.86,0.297,0.743,0.407,0.0780 ,3.85,4.08,4.44,2.9,8591
2015,Jake Odorizzi,9,9,0,28,28,169.1,7.97,2.44,0.96,0.271,0.77,0.373,0.0900 ,3.35,3.61,3.96,2.9,6397
2000,Bryan Rekar,6,10,0,27,27,165.2,4.89,2.01,1.14,0.305,0.701,,,4.51,4.44,,2.8,625
2014,Alex Cobb,10,9,0,27,27,166.1,8.06,2.54,0.6,0.282,0.779,0.562,0.0850 ,2.87,3.23,3.33,2.8,6562
2012,Matt Moore,11,11,0,31,31,177.1,8.88,4.11,0.91,0.293,0.729,0.374,0.0860 ,3.81,3.93,4.35,2.7,1890
2002,Joe Kennedy,8,11,0,30,30,196.2,4.99,2.52,1.05,0.284,0.663,0.365,0.0840 ,4.53,4.46,4.87,2.5,1217
2013,Alex Cobb,11,3,0,22,22,143.1,8.41,2.83,0.82,0.279,0.814,0.558,0.1480 ,2.76,3.36,3.02,2.5,6562
2015,Erasmo Ramirez,11,6,0,27,27,151.1,6.9,2.2,0.89,0.272,0.728,0.464,0.1020 ,3.51,3.76,3.91,2.3,10314
2012,Alex Cobb,11,9,0,23,23,136.1,7,2.64,0.73,0.295,0.685,0.588,0.1280 ,4.03,3.67,3.54,2.2,6562
2004,Mark Hendrickson,9,15,0,30,30,180,4.2,2.3,1.05,0.294,0.645,0.446,0.0980 ,4.85,4.52,4.7,2.1,1574
