State,Region,Coast,TotalEnergy,TotalCoal,TotalGDP,Population
Alabama,South,1,1958221,575912,197534.5,4849377
Alaska,West,1,603119,18225,58066.75,736732
Arizona,South,0,1422590,447849,281558.75,2966369
Arkansas,West,0,1114409,339214,121064.75,6731484
California,West,1,7620082,39486,2324995.5,38802500
Colorado,West,0,1477177,350526,305366.75,5355866
Connecticut,East,1,750019,9097,250763.75,3596677
Delaware,South,1,274013,10238,65484.75,935614
Florida,South,1,4121680,557882,835578.5,19893297
Georgia,South,1,2850990,482657,471879.5,10097343
Hawaii,West,1,281206,17241,76424.75,1419561
Idaho,West,0,519935,7472,63364,1634464
Illinois,Midwest,0,4042313,1017855,742027.75,12880580
Indiana,Midwest,0,2931630,1221492,324289,6596855
Iowa,Midwest,0,1541900,401151,170715,3107126
Kansas,Midwest,0,1132354,316572,146562,2904021
Kentucky,South,0,1770741,913452,188518,4413457
Louisiana,South,1,4279443,209973,245790.75,4649676
Maine,East,1,410530,2142,55029,1330089
Maryland,South,1,1400614,201220,350262.5,5976407
Massachusetts,East,1,1437640,29871,456273,6745408
Michigan,Midwest,0,2881550,618479,447221.25,9909877
Minnesota,Midwest,0,1912065,313073,320381.25,5457173
Mississippi,South,1,1155549,116537,104937.5,2994079
Missouri,Midwest,0,1903839,780707,283280.25,6063589
Montana,West,0,403446,175357,44672.25,1023579
Nebraska,Midwest,0,864347,276544,110663.25,1881503
Nevada,West,0,660256,79230,134052.25,2839099
New Hampshire,East,1,310142,14867,70345.25,1326813
New Jersey,East,1,2340188,30731,545374.25,8938175
New Mexico,West,0,679136,215348,94791.5,2085572
New York,East,1,3742892,64655,1385776.25,19746227
North Carolina,South,1,2554776,501592,474355.25,9943964
North Dakota,Midwest,0,640095,399195,58230,739482
Ohio,Midwest,0,3809648,1057377,588827.75,11594163
Oklahoma,South,0,1679856,336080,190170.5,3878051
Oregon,West,1,987145,34238,203328,3970239
Pennsylvania,East,0,3902434,1039161,672413.25,12787209
Rhode Island,East,1,204459,0,55098.25,1055173
South Carolina,South,1,1632085,305656,189655.5,4832482
South Dakota,Midwest,0,391857,33062,45600,853175
Tennessee,South,0,2194512,427509,300015.25,6549352
Texas,South,1,12899498,1585961,1601976.75,26956958
Utah,West,0,797995,344054,140565,2942902
Vermont,East,0,139897,0,29661.75,626562
Virginia,South,1,2430205,278183,462243,8326289
Washington,West,1,2011941,76547,422766.5,7061530
West Virginia,South,0,752942,816460,74432.75,1850326
Wisconsin,Midwest,0,1868867,417096,293341.25,5757564
Wyoming,West,0,535612,489300,40875.5,584153
District of Columbia,South,0,178929,48,116539.25,658893
